rm_key|co_nm|co_sts|chng_sts_dt|co_grp|oa_flag|oa_sts|oa_dt|lvl5_oc_cd|lvl5_oc_nm|co_seg|co_seg_lvl|indst|scb_tnur|co_age|avg_edng_bal_ytd|avg_edng_bal_ytd_prev_yr|coh_latest|coh_latest_prev_yr|coh_yr_latest|coh_yr_latest_prev_yr|cogs_latest|cogs_latest_prev_yr|cogs_yr_latest|cogs_yr_latest_prev_yr|net_sale_latest|net_sale_latest_prev_yr|net_sale_yr_latest|net_sale_yr_latest_prev_yr|avg_coh_prev_3yr|avg_cogs_prev_3yr|avg_net_sale_prev_3yr|pro_rt_avg_cogs_prev_3yr|pro_rt_avg_net_sale_prev_3yr|co_indst_prior|co_seg_prior|bcm_flag|cust_type_cd|cust_new_to_bcm_prod_flag_wthin_mnth|cust_new_to_bcm_prod_flag_wthin_yr|cust_strt_dt|dl_load_ts|dl_data_dt|mnth_id
008600000000000000000000000005|(Unknown Commercial_0000000005)|NULL|NULL|(Unknown Commercial_0000000005)|N|NULL|NULL|9129|Corporate Banking 1|CORP|Mid corp|Financial Institutions|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|1|N|C|NULL|NULL|43248|43887.637|43585|43556
008600000000000000000000000007|(Unknown Commercial_0000000007)|NULL|NULL|(Unknown Commercial_0000000007)|N|NULL|NULL|9892|Corporate Banking 3|CORP|Mid corp|Agricultural Products & Commodities|1|NULL|0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|1|N|C|NULL|NULL|43291|43887.637|43585|43556
008600000000000000000000000008|(Unknown Commercial_0000000008)|NULL|NULL|(Unknown Commercial_0000000008)|N|NULL|NULL|9130|Corporate Banking 2|CORP|Mid corp|Foods and Beverages|1|NULL|0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|1|N|C|NULL|NULL|43291|43887.637|43585|43556
008600000000000000000000000012|(Unknown Commercial_0000000012)|NULL|NULL|(Unknown Commercial_0000000012)|N|NULL|NULL|9129|Corporate Banking 1|CORP|Mid corp|Financial Institutions|0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|1|N|C|NULL|NULL|43483|43887.637|43585|43556
008600000000000000000000000029|(Unknown Commercial_0000000029)|NULL|NULL|(Unknown Commercial_0000000029)|N|NULL|NULL|9130|Corporate Banking 2|CORP|Mid corp|Wholesale & Retail|0|NULL|0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|1|N|C|NULL|NULL|43523|43887.637|43585|43556
008300000000000000000000001358|(Unknown Commercial_0000001358)|NULL|NULL|(Unknown Commercial_0000001358)|N|NULL|NULL|9130|Corporate Banking 2|CORP|Mid corp|Auto & Parts|1|NULL|2083614.23|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|1|N|C|NULL|NULL|43327|43887.637|43585|43556
008300000000000000000000001463|(Unknown Commercial_0000001463)|NULL|NULL|(Unknown Commercial_0000001463)|N|NULL|NULL|9130|Corporate Banking 2|CORP|Mid corp|Financial Institutions|1|NULL|64482.17|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|1|N|C|NULL|NULL|43332|43887.637|43585|43556
008300000000000000000000001630|(Unknown Commercial_0000001630)|NULL|NULL|(Unknown Commercial_0000001630)|N|NULL|NULL|9129|Corporate Banking 1|CORP|Mid corp|Financial Institutions|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|1|N|C|NULL|NULL|43355|43887.637|43585|43556
008300000000000000000000001804|(Unknown Commercial_0000001804)|NULL|NULL|(Unknown Commercial_0000001804)|N|NULL|NULL|9892|Corporate Banking 3|CORP|Mid corp|Agricultural Products & Commodities|0|NULL|0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|1|N|C|NULL|NULL|43523|43887.637|43585|43556
001400000000000000000028127151|(Unknown Commercial_0028127151)|NULL|NULL|(Unknown Commercial_0028127151)|N|NON-OA|2019-04-30|9892|Corporate Banking 3|CORP|Mid corp|Others|1|NULL|488152.75|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|1|Y|C|N|N|43251|43887.637|43585|43556
